Variable,L1,L2,L3,L4
Intro,"""Thank you! Enjoy MORE Everything ""","""Welcome to MORE Everything""","""MORE Everything has been activated ""","""MORE Everything is designed for you"""
headline,"""YOU’LL LOVE IT!""","""CONGRATS!""","""YOU'RE IN!""","""FINALLY!"""
main_text,"""Make the most of your new plan’s savings & shareable data - add a new device today!""","""Check out our selection for you — add a new phone, tablet, or other device!""",,
button,"""Symbol After text""","""Symbol Before text""",,
action,"""Uses word click""","""Does not use word click""",,
purpose,"""Take A look""","""Have a Look""","""View More""","""See for Yourself"""
symbol,"""▶""",""">>""",,
